City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,tenno,39.9,139.9667,23.56,62,0,6.44,JP,1687140069
311,porto novo,6.4965,2.6036,21.9,88,99,3.38,BJ,1687140123
312,saudarkrokur,65.7461,-19.6394,8.08,99,100,2.65,IS,1687140123
313,christchurch,-43.5333,172.6333,13.84,89,75,9.77,NZ,1687140057
314,aitape,-3.1374,142.3475,27.71,79,97,1.85,PG,1687140124
315,taoudenni,22.6783,-3.9836,35.02,9,0,5.23,ML,1687140124
316,yung shue wan,22.2333,114.1167,30.74,80,100,5.61,HK,1687140124
317,sinop,41.7711,34.8709,14.49,88,20,1.45,TR,1687140124
318,boiling springs,35.0465,-81.9818,24.75,67,0,0.0,US,1687140125
319,santana,-0.0583,-51.1817,28.1,94,40,2.06,BR,1687140125
320,tolanaro,-25.0319,46.9987,21.04,68,20,4.12,MG,1687140125
321,hithadhoo,-0.6,73.0833,28.6,71,30,5.04,MV,1687140125
322,ilhabela,-23.7781,-45.3581,17.46,86,62,1.68,BR,1687140126
323,urzhum,57.1141,49.9996,7.87,72,100,3.18,RU,1687140126
324,hailar,49.2,119.7,25.83,49,100,5.18,CN,1687140126
325,itoman,26.1247,127.6694,28.0,89,75,8.75,JP,1687140126
326,buala,-8.145,159.5921,28.89,74,74,1.71,SB,1687140127
327,lihue,21.9789,-159.3672,27.08,68,12,4.57,US,1687140104
328,pedernales,18.0384,-71.744,27.84,70,100,4.01,DO,1687140127
329,lucea,18.451,-78.1736,28.92,78,97,5.52,JM,1687140128
330,ishigaki,24.3448,124.1572,29.07,84,75,7.72,JP,1687140128
331,mount pearl,47.5166,-52.7813,5.47,95,100,2.57,CA,1687140128
332,usinsk,65.9939,57.5281,3.57,73,100,4.08,RU,1687140128
333,slave lake,55.2834,-114.769,11.99,87,100,3.6,CA,1687140129
334,wewak,-3.5534,143.6268,27.42,79,100,0.44,PG,1687140129
335,new norfolk,-42.7826,147.0587,8.17,60,18,4.17,AU,1687140129
336,east london,-33.0153,27.9116,14.26,40,25,2.16,ZA,1687140033
337,puerto aysen,-45.4,-72.7,-2.49,98,26,1.01,CL,1687140129
338,aasiaat,68.7098,-52.8699,0.11,80,100,4.47,GL,1687140130
339,zorritos,-3.6805,-80.6782,26.16,77,0,1.91,PE,1687140130
340,nar'yan-mar,67.6713,53.087,3.35,72,100,5.08,RU,1687140130
341,olyokminsk,60.3736,120.4264,14.49,93,100,4.02,RU,1687140131
342,broken hill,-31.95,141.4333,13.42,51,1,9.7,AU,1687140131
343,tambo,-14.8,-73.9167,2.04,49,9,1.88,PE,1687140131
344,araguaina,-7.1911,-48.2072,26.97,55,85,1.56,BR,1687140132
345,al mijlad,11.0333,27.7333,27.3,59,100,4.55,SD,1687140132
346,alice springs,-23.7,133.8833,17.34,40,95,5.14,AU,1687139982
347,akrehamn,59.2667,5.1833,15.79,88,40,2.06,NO,1687140133
348,boundiali,9.5217,-6.4869,22.68,88,8,1.47,CI,1687140133
349,yanam,16.7333,82.2167,31.6,74,99,3.09,IN,1687140133
350,ciudad lazaro cardenas,17.9583,-102.2,28.98,81,4,3.04,MX,1687140103
351,mbekenyera,-10.0,38.9833,17.06,96,0,0.87,TZ,1687140134
352,marica,-22.9194,-42.8186,20.95,77,12,2.72,BR,1687140134
353,mansalay,12.5167,121.4,28.24,69,94,0.85,PH,1687140134
354,fortuna,40.5982,-124.1573,15.52,69,20,7.2,US,1687139942
355,heniches'k,46.1759,34.8034,19.86,76,43,5.44,UA,1687140135
356,farmville,37.3021,-78.3919,22.75,72,0,0.0,US,1687139745
357,ephraim,39.3597,-111.5863,21.57,37,50,8.38,US,1687140135
358,bardai,11.65,7.2333,24.08,68,100,3.96,NG,1687140136
359,malango,-2.9627,119.9001,26.72,63,73,1.1,ID,1687140136
360,namibe,-15.1961,12.1522,17.84,80,0,2.1,AO,1687140136
361,puerto escondido,15.85,-97.0667,28.97,82,100,0.7,MX,1687140004
362,waingapu,-9.6567,120.2641,27.17,64,32,3.36,ID,1687140137
